"chamber","district_number","n_white","n_hispanic","n_black","n_asian","n_native","n_pacific","n_total_demo","pct_white","pct_hispanic","pct_black","pct_asian","pct_napi","source_demo","year_demo","avg_pct_D","avg_pct_R","avg_party_lean","avg_party_lean_points_abs","avg_party_lean_points_R","incumb_people_id","rank_partisan_dist_R","rank_partisan_dist_D"
"House",92,107982,18142,9406,3727,663,20,140432,0.768927310014811,0.129187079867836,0.0669790361171243,0.0265395351486841,0.00486356386008887,"CVAP",2022,0.584543682772884,0.4090090258731,"D",17.6,-17.6,1714,97,24
"House",93,73821,27521,18371,4754,414,80,125254,0.589370399348524,0.219721525859454,0.146669966627812,0.0379548756925926,0.00394398582081211,"CVAP",2022,0.529745842120453,0.461140691517234,"D",6.9,-6.9,23340,84,37
"House",94,78083,23007,24844,3892,802,96,130870,0.596645526094598,0.175800412623214,0.189837243065638,0.0297394360816077,0.00686177122335142,"CVAP",2022,0.477754543552245,0.513375071586123,"R",3.6,3.6,19068,73,48
"House",95,62294,26709,28743,5982,548,0,124634,0.499815459665902,0.214299468844778,0.230619253173291,0.0479965338511161,0.00439687404721023,"CVAP",2022,0.593556705857039,0.397205941637465,"D",19.6,-19.6,21888,99,23
"House",96,51405,34640,30027,6186,566,55,123190,0.417282246935628,0.281191655166815,0.24374543388262,0.0502151148632194,0.00504099358714181,"CVAP",2022,0.632906636176438,0.357099999509418,"D",27.6,-27.6,21381,104,18
"House",97,23239,23589,60783,4413,574,143,113129,0.20542036082702,0.208514174084452,0.537289289218503,0.0390085654429899,0.00633789744451025,"CVAP",2022,0.795987042335233,0.195263798016277,"D",60.1,-60.1,23328,119,2
"House",98,45869,23425,43329,1924,817,49,115663,0.396574531181104,0.202528034029897,0.374614180852995,0.0166345330831813,0.00748726904887475,"CVAP",2022,0.688755297246601,0.301793066419516,"D",38.7,-38.7,18985,108,13
"House",99,37994,18620,61429,1998,657,198,121034,0.313911793380372,0.153841069451559,0.507535072789464,0.0165077581506023,0.00706413074012261,"CVAP",2022,0.764230038361409,0.226925984338712,"D",53.7,-53.7,23066,117,4
"House",100,99273,21692,10633,2995,852,55,135734,0.731379020731725,0.159812574594427,0.0783370415665935,0.0220652157897063,0.00668218721911975,"CVAP",2022,0.480310023583887,0.510766038187444,"R",3,3,20907,74,47
"House",101,57124,40044,13905,4205,902,144,116508,0.490301095203763,0.343701720053559,0.119348027603255,0.0360919421842277,0.00897792426271157,"CVAP",2022,0.554181582354314,0.435462287083654,"D",11.9,-11.9,23317,89,32
"House",102,61978,42687,16063,6071,320,0,128149,0.483640137652264,0.33310443312082,0.125346276599895,0.0473745405738632,0.00249709322741496,"CVAP",2022,0.560482000888739,0.429971927497862,"D",13.1,-13.1,20540,91,31
"House",103,37385,52110,17993,8015,334,210,116840,0.319967476891476,0.445994522423827,0.153996918863403,0.0685980828483396,0.0046559397466621,"CVAP",2022,0.572470089750346,0.418222805786638,"D",15.4,-15.4,21701,94,27
"House",104,16330,45519,48716,3524,238,0,114772,0.142282089708291,0.396603701251176,0.42445892726449,0.0307043529780783,0.00207367650646499,"CVAP",2022,0.715064656866494,0.27631560110725,"D",43.9,-43.9,22512,111,10
"House",105,29710,42069,48510,2645,608,30,123751,0.240078868049551,0.339948768090763,0.391996832348829,0.0213735646580634,0.00515551389483721,"CVAP",2022,0.706116299257616,0.283113673434402,"D",42.3,-42.3,22173,109,12
"House",106,49141,54701,5203,2729,302,0,112153,0.438160370208554,0.487735504177329,0.0463919823812114,0.0243328310433069,0.00269275008247662,"CVAP",2022,0.539338036243222,0.451337259530482,"D",8.8,-8.8,23341,86,36
"House",107,14307,35331,63135,1894,523,60,115510,0.123859406112025,0.305869621677777,0.546576054021297,0.0163968487576833,0.00504718206215912,"CVAP",2022,0.769247620654112,0.221212114781924,"D",54.8,-54.8,22528,118,3
"House",108,16731,36241,57263,1509,303,106,112380,0.148878804057662,0.322486207510233,0.509547962270867,0.0134276561665777,0.00363943762235273,"CVAP",2022,0.805439952809793,0.184293438286728,"D",62.1,-62.1,20358,120,1
"House",109,5564,52772,49914,873,162,59,109392,0.0508629515869533,0.482411876554044,0.45628565160158,0.00798047389205792,0.00202025742284628,"CVAP",2022,0.759898522770007,0.229014159935405,"D",53.1,-53.1,23329,115,6
"House",110,5939,97366,6155,1227,124,0,110857,0.0535735226462921,0.878302678225101,0.0555219787654366,0.0110683132323624,0.00111855814247183,"CVAP",2022,0.381827294259425,0.609284756373945,"R",22.7,22.7,21781,35,86
"House",111,6066,86855,1512,1321,76,20,96035,0.0631644712865101,0.904409850575311,0.0157442599052429,0.0137554016764721,0.000999635549539231,"CVAP",2022,0.400560438921363,0.589913561738528,"R",18.9,18.9,21758,44,77
"House",112,5155,91512,1733,458,82,4,98989,0.0520764933477457,0.924466354847508,0.0175069957267979,0.00462677671256402,0.000868783400175777,"CVAP",2022,0.342983257690758,0.648363355710255,"R",30.5,30.5,21782,21,100
"House",113,21849,70440,3807,2372,321,15,99035,0.220618973090322,0.711263694653405,0.0384409552178523,0.0239511283889534,0.0033927399404251,"CVAP",2022,0.53990299890437,0.449164672384166,"D",9.1,-9.1,23319,87,34
"House",114,24455,81792,5784,2370,157,0,114630,0.21333856756521,0.71353048940068,0.0504579952891913,0.0206752159120649,0.00136962400767687,"CVAP",2022,0.486573867605256,0.503602502465698,"R",1.7,1.7,22527,75,46
"House",115,33449,75952,6548,2994,300,30,119795,0.27921866521975,0.634016444759798,0.0546600442422472,0.0249926958554197,0.00275470595600818,"CVAP",2022,0.47219125251499,0.517788076270135,"R",4.6,4.6,23330,70,51
"House",116,12578,97178,2506,1836,81,35,114548,0.109805496385795,0.848360512623529,0.0218772916157419,0.0160282152460104,0.00101267590878933,"CVAP",2022,0.384070884883652,0.605564589919594,"R",22.1,22.1,19426,36,85
"House",117,8587,62104,30708,1459,331,60,103203,0.0832049455926669,0.601765452554674,0.297549489840412,0.0141371859345174,0.00378864955476101,"CVAP",2022,0.643711807784408,0.345752229198173,"D",29.8,-29.8,22516,106,15
"House",118,14861,95354,6387,2015,226,20,119330,0.124536998240174,0.799078186541524,0.0535238414480851,0.0168859465348194,0.00206151009804743,"CVAP",2022,0.401692694521773,0.588865768285886,"R",18.7,18.7,24994,45,76
"House",119,13710,102167,5261,2864,179,55,124606,0.110026804487745,0.819920389066337,0.0422210808468292,0.0229844469768711,0.00187791920132257,"CVAP",2022,0.441945805311525,0.548196435304799,"R",10.6,10.6,23356,60,61
