"people_id","person_hash","state_id","party","legislator_name","first_name","middle_name","last_name","suffix","nickname","ftm_eid","votesmart_id","opensecrets_id","knowwho_pid","ballotpedia","bioguide_id","district_number","chamber","termination_date","leg_party_loyalty","leg_n_votes_denominator","leg_n_votes_party_line","leg_n_votes_cross_party","leg_n_votes_independent","leg_n_votes_missing"
17687,"5r7az9zc",9,"R","Cyndi Stevenson","Cyndi","","Stevenson","","",372950,81663,"",533046,"http://ballotpedia.org/Cyndi_Stevenson","",18,"House",NA,0.988416988416988,1036,1024,12,10,0
21381,"u2fci01y",9,"D","Dan Daley","Dan","","Daley","","",47146673,149318,"",709876,"http://ballotpedia.org/Dan_Daley","",96,"House",NA,0,32,0,32,8,0
22129,"mb2156j2",9,"R","Dana Trabulsy","Dana","","Trabulsy","","",49845686,194522,"",740423,"http://ballotpedia.org/Dana_Trabulsy","",84,"House",NA,0.997526793075021,1213,1210,3,1,0
23344,"b3eicpho",9,"R","Daniel Alvarez","Daniel","Antonio","Alvarez","Sr.","Danny",55866432,209473,"",0,"http://ballotpedia.org/Daniel_Alvarez","",69,"House",NA,1,1159,1159,0,1,0
16595,"feomdl8z",9,"R","Daniel Burgess","Daniel","Wright","Burgess","Jr.","Danny",25004958,149394,"",484629,"http://ballotpedia.org/Daniel_Burgess","",23,"Senate",NA,1,1511,1511,0,0,6
19426,"1n26wu92",9,"R","Daniel Perez","Daniel","","Perez","","",43850320,176476,"",638466,"http://ballotpedia.org/Daniel_Anthony_Perez","",116,"House",NA,1,906,906,0,0,0
1706,"sk3rdyfd",9,"D","Darryl Rouson","Darryl","Ervin","Rouson","","",157259,104952,"",264391,"http://ballotpedia.org/Darryl_Rouson","",16,"Senate",NA,0,23,0,23,7,4
23066,"tmbh2oz6",9,"D","Daryl Campbell","Daryl","","Campbell","","",54438816,200766,"",797986,"http://ballotpedia.org/Daryl_Campbell","",99,"House",NA,0,12,0,12,25,0
21758,"mhz7l0j4",9,"R","David Borrero","David","","Borrero","","",49845727,194467,"",740296,"http://ballotpedia.org/David_Borrero","",111,"House",NA,0.999254287844892,1341,1340,1,8,0
18797,"jpk7p8yq",9,"D","David Silvers","David","","Silvers","","",24859134,149488,"",484716,"http://ballotpedia.org/David_Silvers","",89,"House",NA,0,39,0,39,2,0
20953,"d3v1n078",9,"R","David Smith","David","A.","Smith","","",19869636,146175,"",476517,"http://ballotpedia.org/David_Smith_(Florida)","",38,"House",NA,0.993001555209953,1286,1277,9,4,0
23346,"zixitc1g",9,"R","Dean Black","Dean","","Black","","",37458122,124330,"",0,"http://ballotpedia.org/Dean_Black","",15,"House",NA,1,1318,1318,0,0,0
1678,"grc5uk91",9,"R","Debbie Mayfield","Debbie","","Mayfield","","",68943,107965,"",269005,"http://ballotpedia.org/Debbie_Mayfield","",19,"Senate",NA,0.999416569428238,1714,1713,1,0,6
22527,"iykjlne1",9,"R","Demi Busatta Cabrera","Demi","","Busatta Cabrera","","",49845744,194460,"",605634,"http://ballotpedia.org/Demi_Busatta_Cabrera","",114,"House",NA,0.994072819644369,1181,1174,7,4,0
12362,"6u9spcbt",9,"R","Dennis Baxley","Dennis","K.","Baxley","","",575403,54010,"",205873,"http://ballotpedia.org/Dennis_Baxley","",13,"Senate",NA,1,1528,1528,0,0,4
20422,"7cq5kgoo",9,"D","Dianne Hart","Dianne","","Hart","","Ms Dee",12513886,172926,"",575832,"http://ballotpedia.org/Dianne_Hart","",63,"House",NA,0,3,0,3,20,0
20358,"ovuvhjdl",9,"D","Dotie Joseph","Dotie","","Joseph","","",45388194,184493,"",655607,"http://ballotpedia.org/Dotie_Joseph","",108,"House",NA,0,2,0,2,32,0
23338,"ivvfeu8g",9,"R","Doug Bankson","Doug","","Bankson","","",55866441,173235,"",0,"http://ballotpedia.org/Doug_Bankson","",39,"House",NA,0.997407087294728,1157,1154,3,1,0
12367,"dw4kxupl",9,"R","Douglas Broxson","Douglas","Vaughn","Broxson","","Doug",6692589,117045,"",289436,"http://ballotpedia.org/Doug_Broxson","",1,"Senate",NA,1,1118,1118,0,3,5
1664,"1ukjmsyb",9,"R","Ed Hooper","Ed","","Hooper","","",1287627,53831,"",248530,"http://ballotpedia.org/Ed_Hooper","",21,"Senate",NA,0.995945945945946,1480,1474,6,3,7
19064,"i67rpplo",9,"R","Erin Grall","Erin","K.","Grall","","",61683,117112,"",289453,"http://ballotpedia.org/Erin_Grall","",29,"Senate",NA,0.99304865938431,1007,1000,7,16,2
23341,"ni3ayex3",9,"R","Fabian Basabe","Fabian","","Basabe","","",55866442,209439,"",0,"http://ballotpedia.org/Fabián_Basabe","",106,"House",NA,0.993314231136581,1047,1040,7,0,0
22512,"z587gd6k",9,"D","Felicia Simone Robinson","Felicia","Simone","Robinson","","",49845717,130220,"",740275,"http://ballotpedia.org/Felicia_Simone_Robinson","",104,"House",NA,0,9,0,9,37,0
21029,"ss5r9rz7",9,"D","Fentrice Driskell","Fentrice","","Driskell","","",45388118,184423,"",655600,"http://ballotpedia.org/Fentrice_Driskell","",67,"House",NA,0,5,0,5,14,0
22529,"a0rhm7tw",9,"R","Fiona McFarland","Fiona","","McFarland","","",49845668,194559,"",740452,"http://ballotpedia.org/Fiona_McFarland","",73,"House",NA,0.99780701754386,912,910,2,1,0
23361,"po2o5rju",9,"D","Gallop Franklin","Gallop","P.","Franklin","","",55866498,209338,"",0,"http://ballotpedia.org/Gallop_Franklin","",8,"House",NA,0,44,0,44,5,0
12379,"s5v8rbs6",9,"R","Gayle Harrell","Gayle","B.","Harrell","","",54371,53962,"",205899,"http://ballotpedia.org/Gayle_Harrell","",31,"Senate",NA,0.99765625,1280,1277,3,0,0
1720,"1v0rsbj5",9,"D","Geraldine Thompson","Geraldine","F.","Thompson","","Geri",22592,30749,"",248524,"http://ballotpedia.org/Geraldine_Thompson","",15,"Senate",NA,0,3,0,3,31,2
23317,"wprwcavo",9,"D","Hillary Cassel","Hillary","","Cassel","","",55866460,209443,"",0,"http://ballotpedia.org/Hillary_Cassel","",101,"House",NA,0,24,0,24,5,0
21775,"leb4b3n8",9,"R","Ileana Garcia","Ileana","","Garcia","","",50171409,194449,"",242995,"http://ballotpedia.org/Ileana_Garcia","",36,"Senate",NA,0.987029030265596,1619,1598,21,6,4
21024,"vb66clzl",9,"R","James Buchanan","James","Vernon","Buchanan","","",44113817,176798,"",663133,"http://ballotpedia.org/James_Buchanan_(Florida)","",74,"House",NA,0.99748743718593,1194,1191,3,0,0
12366,"ix4l0t68",9,"R","Jason Brodeur","Jason","T.","Brodeur","","",67542,117042,"",289456,"http://ballotpedia.org/Jason_Brodeur","",10,"Senate",NA,0.998773758430411,1631,1629,2,1,7
20632,"1ffeasqd",9,"D","Jason Pizzo","Jason","W.B.","Pizzo","","",15941899,172750,"",588895,"http://ballotpedia.org/Jason_Pizzo","",37,"Senate",NA,0,25,0,25,8,1
21391,"gw0rt51v",9,"R","Jason Shoaf","Jason","","Shoaf","","",43047669,186156,"",709836,"http://ballotpedia.org/Jason_Shoaf","",7,"House",NA,0.996478873239437,1136,1132,4,2,0
23324,"7sbfgcvb",9,"R","Jay Collins","Jay","","Collins","","",55866465,209220,"",0,"http://ballotpedia.org/Jay_Collins","",14,"Senate",NA,0.99922480620155,1290,1289,1,0,1
16763,"un7eu4cm",9,"R","Jay Trumbull","Jay","","Trumbull","","",25005017,149501,"",484526,"http://ballotpedia.org/Jay_Trumbull","",2,"Senate",NA,0.99859649122807,1425,1423,2,2,4
23353,"6ryrq45y",9,"R","Jeff Holcomb","Jeff","","Holcomb","","",55866529,158287,"",0,"http://ballotpedia.org/Jeff_Holcomb_(Florida)","",53,"House",NA,0.997870830376153,1409,1406,3,4,0
